 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36
349,25.391,17.521,24.164,14.472,15.989,13.870,87.631,62.491,46.348,32.018,67.466,33.126,20.664,24.570,33.576,56.935,44.826,35.895,128.431,59.422,34.500,30.699,81.463,16.813,37.301,64.173,27.605,18.127,32.859,27.199,16.848,23.751,14.116,21.202,14.952,13.864
350,25.554,17.386,24.331,14.543,15.895,13.826,88.050,62.863,46.588,31.962,67.749,32.895,20.806,24.688,33.354,56.615,44.997,35.820,128.314,58.043,34.480,30.577,80.937,16.815,37.426,64.424,27.210,18.190,32.778,27.221,16.813,23.568,14.089,21.084,14.877,14.071
351,25.650,17.479,24.359,14.591,15.756,13.820,88.130,62.915,46.185,32.087,67.611,32.938,20.736,24.732,33.709,56.828,44.963,35.812,128.409,59.128,34.394,30.891,81.057,16.838,37.142,64.637,27.618,18.242,32.765,27.129,16.742,23.866,14.064,21.140,15.038,13.936
352,25.565,17.500,24.095,14.687,15.884,13.881,88.200,62.631,46.270,32.004,67.106,32.939,20.889,24.681,33.503,56.524,45.132,35.796,128.638,59.109,34.266,30.936,81.821,16.788,37.264,65.114,27.439,18.262,32.402,27.004,16.828,23.870,14.185,21.179,15.010,14.018
353,25.499,17.488,24.170,14.743,15.770,13.966,88.281,62.934,46.459,31.705,67.537,32.767,20.820,24.860,33.608,56.848,45.098,35.991,128.575,59.682,34.425,30.913,81.689,16.759,37.337,64.868,27.146,18.155,32.562,27.305,16.784,23.824,14.171,21.210,14.865,14.016
354,25.881,17.539,24.333,14.620,15.952,13.811,87.999,63.238,46.359,31.864,67.880,33.140,21.198,24.666,33.606,56.878,45.004,36.035,128.774,59.109,34.231,30.455,81.732,16.768,37.293,64.577,26.847,18.187,32.418,27.296,16.848,23.727,14.098,21.074,14.856,13.931
355,25.722,17.419,24.332,14.620,15.914,13.836,88.288,62.874,46.472,32.000,67.306,32.938,21.267,24.704,33.529,56.955,45.303,35.830,128.696,59.602,34.236,30.840,81.581,16.641,37.323,64.745,26.771,18.304,32.748,27.245,16.825,23.954,14.115,20.989,14.769,13.890
356,25.541,17.410,24.167,14.550,15.920,13.870,88.395,62.602,46.222,31.782,67.121,32.879,21.175,24.689,33.676,56.828,44.828,35.856,128.371,59.294,34.322,30.551,81.148,16.604,37.294,64.484,27.006,18.215,32.545,27.225,16.828,23.824,14.159,21.215,14.904,13.883
357,25.722,17.569,24.430,14.528,15.897,13.803,87.905,62.892,46.167,31.933,67.043,32.959,21.244,24.704,33.919,57.077,45.217,35.717,128.020,59.517,34.173,30.865,81.797,16.694,37.358,64.949,26.739,18.135,32.815,27.431,16.778,23.969,14.167,21.053,14.916,13.949
358,25.656,17.382,24.350,14.754,15.741,13.878,88.151,62.992,46.194,31.861,67.642,32.844,21.284,24.619,33.625,56.840,45.307,35.906,128.804,59.953,34.272,30.740,81.750,16.673,37.379,64.928,27.395,18.169,32.550,27.280,16.838,23.659,14.149,21.137,14.897,14.021
