 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
624,160.944,103.472,61.271,76.846,63.764,73.398,66.811,125.803,112.084,105.707,168.084,70.552,92.058,72.005,81.849,95.771,107.713,68.704,77.497,106.258,73.709,116.403,90.774,92.033,104.684,73.031,94.257,95.278,72.729,67.260,76.838,66.104,65.530,70.710,95.129,82.338,81.599,84.850,83.907,72.262,79.700,87.326,81.092,87.692,69.941,79.925
625,160.825,102.342,60.770,76.352,64.288,73.351,66.791,126.684,110.158,104.349,167.752,69.573,92.807,71.886,82.807,95.693,107.464,69.092,79.025,107.059,72.308,116.806,91.319,91.908,104.581,72.971,93.208,96.026,72.952,67.078,77.438,65.857,65.401,70.875,93.684,81.835,81.142,83.901,82.961,72.191,79.519,87.867,81.576,87.613,70.595,79.472
626,160.729,103.324,61.142,76.619,64.757,72.596,67.289,125.663,111.820,104.682,167.264,70.116,92.746,72.022,82.980,97.052,106.268,68.188,78.253,107.042,73.527,116.476,91.301,92.312,104.114,72.979,93.876,96.020,72.353,67.057,77.575,65.602,65.419,70.283,94.648,81.541,80.736,83.465,84.389,73.071,79.660,87.970,81.156,86.632,70.784,78.842
627,161.094,103.241,61.015,75.577,64.254,73.249,66.716,127.332,111.611,105.473,166.838,69.816,92.656,71.841,82.483,95.626,107.527,68.767,78.238,107.465,73.313,117.190,89.884,92.831,105.295,73.160,93.438,96.960,72.971,67.471,77.063,65.661,64.743,70.288,93.767,82.481,80.778,84.653,84.054,73.078,78.608,87.983,80.836,87.344,70.059,79.494
628,161.175,102.744,61.158,76.648,64.194,73.591,66.986,124.997,109.926,105.680,168.186,70.655,93.286,72.179,82.131,95.768,107.361,68.358,77.808,106.774,73.484,115.855,90.612,92.642,104.497,73.055,93.878,95.927,72.765,66.958,77.200,65.809,65.616,69.940,94.084,81.406,81.911,83.967,82.977,73.014,78.841,87.833,81.159,87.209,69.958,78.917
629,162.105,103.482,61.022,75.824,64.378,75.712,67.651,125.284,112.077,106.457,168.275,70.546,92.658,71.930,82.573,96.276,107.426,68.292,77.989,106.044,72.951,116.825,89.429,91.354,105.108,73.021,93.697,93.477,72.919,67.076,76.921,66.078,65.466,70.533,95.172,82.662,80.718,84.178,84.255,72.539,80.297,85.639,81.778,87.743,70.827,78.781
630,162.767,103.459,60.387,76.218,64.123,75.189,66.798,126.327,111.965,105.072,166.709,70.103,92.726,71.403,82.682,95.900,105.825,68.454,78.735,107.254,73.011,116.204,89.882,91.627,105.633,72.639,94.154,94.000,72.846,66.992,76.699,65.363,65.572,70.585,94.218,81.662,81.038,84.300,83.678,73.262,79.236,86.747,81.527,86.815,70.882,79.887
631,161.579,103.034,61.144,75.736,64.232,75.683,67.364,126.927,111.441,105.554,167.367,70.620,92.791,71.679,83.372,96.542,106.724,69.058,79.011,106.757,72.714,116.030,89.941,91.863,104.066,73.238,94.024,95.007,72.514,67.135,77.910,65.824,65.479,70.083,93.787,81.376,80.217,83.883,83.503,73.369,79.245,86.571,81.758,87.690,71.098,80.143
632,161.989,103.909,61.416,76.504,64.011,78.858,67.824,126.937,112.550,105.730,168.449,71.595,91.701,71.630,81.902,96.877,106.000,68.779,78.088,106.656,73.330,117.024,89.715,91.544,103.714,72.723,94.381,96.675,72.892,66.858,77.060,65.970,64.455,70.558,94.456,81.865,81.805,83.676,83.474,72.050,78.954,85.489,81.856,87.171,70.075,79.525
633,160.688,103.145,60.525,75.797,64.548,77.688,67.030,127.076,111.624,104.973,167.555,70.533,92.839,72.300,82.257,96.335,106.087,69.046,78.019,107.027,72.648,116.948,87.557,92.181,104.021,72.840,93.346,96.874,73.082,66.514,77.753,65.970,65.031,70.614,94.403,82.165,81.060,84.310,84.706,72.418,78.830,87.871,81.689,87.550,69.869,79.872
