 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28
1036,29.738,38.652,30.849,23.937,27.187,35.403,51.058,40.065,39.480,24.670,38.737,34.941,31.677,35.305,34.625,33.915,25.484,26.917,26.473,27.570,37.246,34.696,32.981,31.695,32.965,48.002,33.807,52.628
1037,29.511,38.782,30.985,23.997,27.037,35.394,50.863,39.605,39.717,24.725,38.796,34.854,31.697,34.855,35.031,34.024,25.296,26.227,26.993,27.349,37.221,34.560,32.860,31.933,32.455,47.862,33.997,52.485
1038,29.496,38.696,31.062,23.987,27.039,35.168,50.694,39.558,39.579,24.754,38.728,34.552,31.275,34.400,34.568,33.878,25.014,25.960,26.459,27.242,37.332,34.750,32.813,31.961,32.715,47.688,34.070,52.830
1039,29.440,38.564,30.857,23.772,27.043,34.878,50.430,39.595,39.548,24.668,38.674,34.537,31.275,34.566,34.651,33.944,24.641,25.516,26.202,27.227,37.043,34.953,32.761,31.837,32.646,47.991,33.880,52.675
1040,29.193,39.010,30.640,23.984,26.976,35.070,50.653,39.364,39.610,24.492,38.560,34.575,31.333,34.195,34.701,33.854,24.537,25.164,26.375,27.401,37.116,34.844,32.865,31.929,32.833,47.966,34.143,52.624
1041,29.064,38.394,30.849,23.950,26.974,34.651,50.422,39.307,39.796,24.674,38.991,34.535,30.970,34.326,34.736,33.705,24.255,25.103,26.380,27.237,37.180,34.605,32.565,31.869,32.584,47.814,33.733,52.663
1042,29.211,38.769,31.107,23.868,26.956,35.148,50.687,39.354,39.789,24.578,38.551,34.780,31.227,34.187,34.463,33.809,24.327,24.585,25.702,27.263,37.255,34.657,32.461,31.877,32.818,47.417,33.707,52.578
1043,29.244,38.266,31.224,23.791,26.867,35.209,50.527,39.268,39.669,24.654,38.467,34.327,30.775,34.232,34.585,33.606,24.194,24.609,25.220,27.208,36.996,34.607,32.640,31.234,32.294,47.748,33.943,52.463
1044,29.361,38.606,31.213,23.791,27.104,37.800,53.428,41.168,40.191,25.283,40.246,35.990,32.280,35.150,34.915,34.029,24.107,24.391,24.941,27.284,37.857,37.038,34.883,32.234,34.944,48.846,33.820,52.541
1045,35.290,48.530,31.868,28.294,30.409,55.209,74.392,59.918,44.544,30.143,56.874,48.074,40.140,42.261,38.420,36.051,25.462,29.158,27.445,29.724,41.822,47.171,46.326,39.559,44.559,56.259,34.773,52.543
1046,42.972,52.843,32.548,31.569,31.665,49.858,67.236,52.356,42.050,30.043,55.913,45.332,38.915,39.084,36.340,35.455,25.402,30.239,27.264,29.174,38.762,41.861,42.161,37.394,39.304,51.555,34.500,53.117
1047,36.354,45.394,31.691,27.812,28.428,42.804,58.435,44.521,40.669,27.512,48.084,39.898,36.252,35.963,35.358,34.652,24.908,28.425,25.900,28.052,37.642,37.512,37.295,34.347,35.598,49.392,33.837,52.693
1048,32.354,41.631,31.390,25.947,27.459,38.763,54.662,41.352,39.667,25.973,44.168,37.248,34.732,34.755,34.687,34.029,24.604,27.638,25.000,27.461,37.113,35.721,35.169,32.401,33.867,47.865,34.220,52.747
1049,31.099,39.853,31.213,24.791,27.241,37.098,52.829,40.325,39.893,25.307,41.805,36.095,33.789,34.650,34.532,33.790,24.411,26.960,24.477,27.260,37.208,35.391,33.831,32.039,33.074,47.823,34.077,52.303
1050,30.232,39.279,30.945,24.450,27.146,36.403,52.051,39.675,39.579,25.113,40.159,35.816,33.096,34.671,34.527,33.862,24.324,26.071,24.114,27.359,37.066,35.171,33.146,32.062,33.042,47.892,33.897,52.739
1051,29.992,38.627,30.923,23.937,26.889,35.458,51.865,39.693,39.559,24.770,39.949,34.987,32.615,34.487,34.530,34.040,24.171,25.743,23.875,27.357,37.373,34.765,32.705,32.209,32.732,47.865,33.943,52.640
