 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32
92,44.488,35.670,39.440,33.194,25.448,20.985,21.501,19.928,21.163,29.535,23.823,26.611,25.061,38.656,44.455,37.983,29.386,27.781,23.753,27.591,34.238,31.871,26.282,21.254,75.518,22.935,19.691,20.930,19.489,19.035,17.959,16.417
93,43.065,33.643,38.656,32.447,24.888,20.880,21.272,19.923,20.954,29.343,23.328,26.379,24.910,37.779,44.618,37.411,28.678,27.496,23.459,27.078,34.762,31.034,25.924,21.078,75.404,22.764,19.363,20.786,19.498,19.018,17.981,16.462
94,41.396,31.905,37.214,32.422,24.700,20.508,21.132,19.776,20.690,29.009,22.996,26.031,24.419,36.534,44.569,36.559,27.476,27.422,23.279,26.632,33.828,30.738,25.519,20.839,76.817,22.627,19.242,20.721,19.433,19.066,17.931,16.207
95,40.126,30.736,36.224,31.737,24.487,20.570,21.047,19.743,20.799,28.343,22.773,25.874,23.968,35.790,44.438,36.405,27.006,27.065,23.123,26.172,32.211,30.447,25.228,20.493,81.031,22.537,19.137,20.619,19.419,19.014,18.035,16.153
96,39.074,29.566,35.150,31.203,24.087,20.363,20.910,19.778,20.719,27.897,22.614,25.462,24.016,34.689,44.360,36.501,26.559,26.861,22.937,25.713,30.920,29.949,24.962,20.167,84.726,22.340,19.013,20.550,19.478,19.014,18.030,16.183
97,37.993,28.753,34.169,31.066,24.084,20.305,20.660,19.693,20.742,27.467,22.363,25.378,23.793,34.187,44.598,35.945,26.518,26.420,22.850,25.287,30.006,29.433,24.644,20.049,86.481,22.287,18.959,20.508,19.449,19.048,18.008,16.124
98,37.074,27.803,33.442,30.651,23.911,20.252,20.612,19.897,20.757,26.724,22.106,25.047,23.719,33.383,44.565,35.714,25.727,26.354,22.618,24.943,29.225,29.084,24.255,19.817,87.473,22.195,19.039,20.518,19.350,19.035,17.946,16.107
99,36.480,27.514,32.756,30.628,23.739,20.372,20.533,19.831,20.588,26.192,21.945,24.815,23.743,32.488,44.763,35.284,25.164,25.924,22.613,24.700,28.273,28.750,24.272,19.574,88.962,22.018,18.897,20.517,19.301,18.996,17.826,16.083
100,35.691,26.686,31.897,29.863,23.531,20.265,20.512,19.720,20.574,25.180,21.809,24.657,23.650,32.261,44.443,34.831,24.785,25.705,22.540,24.419,27.590,28.431,23.913,19.587,91.131,22.064,18.809,20.432,19.539,19.106,17.946,16.012
101,35.370,26.244,31.363,29.906,23.613,20.105,20.456,19.818,20.517,24.727,21.614,24.387,23.496,31.696,44.415,34.639,24.743,25.629,22.435,24.180,27.012,28.175,23.850,19.520,93.478,21.929,18.933,20.397,19.444,19.060,17.922,16.089
