 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21
275,34.617,28.916,28.894,27.793,27.280,27.365,27.937,27.090,27.731,24.280,22.066,21.170,21.029,21.557,22.604,25.189,25.781,23.444,25.745,24.080,20.077
276,34.740,28.937,29.053,27.674,27.598,27.231,27.828,27.075,27.502,24.158,22.112,21.220,20.951,21.595,22.550,24.964,25.739,23.569,25.651,24.191,20.099
277,34.671,28.919,28.838,27.684,27.529,27.317,27.654,27.128,27.767,24.345,22.090,21.139,21.066,21.573,22.542,25.066,25.826,23.652,25.677,24.029,20.092
278,34.734,28.959,29.099,27.773,27.501,27.483,27.765,27.207,27.534,24.283,22.022,21.058,20.941,21.657,22.481,25.161,25.836,23.703,25.987,23.960,20.000
279,34.545,28.986,28.740,27.627,27.313,27.295,27.779,27.039,27.523,24.261,22.068,21.104,21.009,21.579,22.596,25.270,25.679,23.400,25.626,24.033,20.063
280,34.590,29.123,28.862,27.736,27.310,27.120,27.763,27.018,27.360,24.212,22.080,21.193,20.925,21.549,22.500,25.121,25.831,23.534,25.494,24.069,20.185
281,34.754,29.055,28.939,27.802,27.372,27.164,27.888,27.086,27.576,24.242,22.078,21.185,20.847,21.520,22.552,25.141,25.657,23.591,25.762,23.956,20.039
282,34.616,29.074,28.962,27.928,27.467,27.275,27.801,26.929,27.905,24.306,22.090,21.313,21.150,21.651,22.466,25.280,25.817,23.414,25.391,24.182,20.025
283,34.801,29.025,28.899,27.864,27.442,27.367,27.963,27.150,27.753,24.133,21.994,21.263,21.010,21.609,22.424,25.106,25.719,23.630,25.540,24.011,20.083
284,34.690,29.006,28.718,27.849,27.352,27.248,27.839,27.137,27.728,24.201,22.014,21.124,21.062,21.608,22.556,25.131,25.771,23.446,25.706,23.880,19.921
285,34.450,29.025,28.755,27.914,27.442,27.236,27.771,26.998,27.530,24.306,22.236,21.166,21.049,21.655,22.556,25.218,25.771,23.588,25.617,23.880,20.025
286,34.710,29.185,29.091,27.511,27.380,27.253,27.866,27.190,27.668,24.235,22.000,20.973,20.978,21.660,22.572,25.368,25.720,23.598,25.443,24.220,20.002
287,34.709,29.070,28.599,27.832,27.427,27.276,27.754,27.075,27.947,24.234,22.108,21.189,21.023,21.638,22.536,25.265,25.825,23.507,25.443,23.971,20.070
288,34.810,28.970,28.722,27.714,27.347,27.307,27.938,26.944,27.417,24.239,22.174,21.158,21.014,21.624,22.479,25.222,25.613,23.422,25.919,24.116,20.133
289,34.270,28.940,28.989,27.595,27.387,27.216,27.792,27.009,27.650,24.211,22.178,21.104,21.001,21.617,22.564,25.025,25.695,23.363,25.843,23.989,20.088
290,34.707,29.160,28.764,27.669,27.112,27.464,27.734,27.120,27.696,24.317,21.968,21.197,21.045,21.542,22.533,25.132,25.770,23.409,25.298,24.278,20.153
291,34.321,29.077,28.719,27.820,27.092,27.430,27.726,27.080,27.611,24.222,22.084,21.313,21.027,21.521,22.604,25.214,25.740,23.495,25.685,24.044,20.011
292,34.782,28.910,28.876,27.602,27.303,27.348,27.786,27.086,27.375,24.246,22.058,21.375,20.951,21.578,22.513,25.265,25.759,23.544,25.481,23.967,20.056
293,34.783,28.861,29.020,27.672,27.705,27.286,27.830,27.159,27.686,24.147,22.078,21.124,21.022,21.572,22.546,25.346,25.817,23.603,25.757,24.271,20.068
294,34.267,28.649,28.895,27.583,27.496,27.335,27.811,26.853,27.502,24.133,22.014,21.282,20.973,21.634,22.515,25.138,25.635,23.485,25.600,24.149,20.154
295,34.313,28.968,29.041,27.635,27.536,27.307,27.674,27.061,27.640,24.214,22.086,21.181,21.026,21.672,22.530,25.203,25.879,23.566,25.677,23.951,19.930
296,34.353,28.888,29.099,27.160,27.514,27.293,27.688,27.058,27.456,24.305,22.208,21.062,21.007,21.574,22.564,25.156,25.776,23.100,25.702,24.118,19.978
