 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38
75,42.377,22.375,29.982,29.053,24.490,26.814,23.295,20.482,20.095,29.232,19.424,20.069,25.340,22.348,23.713,21.068,21.421,26.962,19.571,23.766,19.578,17.658,18.064,16.947,20.498,15.347,19.439,21.059,21.158,17.776,18.626,50.929,29.596,19.464,15.445,23.264,17.252,21.736
76,42.292,22.529,29.790,28.974,24.478,26.884,23.224,20.485,20.163,29.425,19.196,20.002,25.236,22.169,23.627,21.101,21.635,26.575,19.576,23.935,19.566,17.837,18.132,16.921,20.507,15.333,19.523,20.929,21.129,17.914,18.686,50.780,29.257,19.375,15.464,23.260,17.322,21.561
77,42.038,22.400,29.895,29.754,24.545,26.816,23.218,20.468,20.031,28.991,19.442,20.006,25.369,21.826,23.611,21.048,21.805,26.274,19.615,23.965,19.454,17.549,17.991,16.774,20.471,15.431,19.408,21.046,20.971,17.810,18.589,50.800,29.471,19.445,15.403,23.159,17.233,21.587
78,42.056,22.362,30.160,30.408,24.407,27.104,23.233,20.513,20.111,29.072,19.392,20.157,25.206,21.720,23.691,21.057,21.480,26.002,19.568,23.705,19.343,17.522,18.162,16.697,20.537,15.209,19.327,21.033,21.158,18.011,18.674,50.835,29.210,19.446,15.511,23.244,17.312,21.592
79,41.840,22.290,29.977,29.953,24.298,26.758,23.397,20.514,20.060,29.033,19.287,19.972,25.247,21.647,23.614,20.976,21.393,25.662,19.692,23.922,19.618,17.641,18.132,16.798,20.366,15.276,19.406,20.845,21.101,17.804,18.809,50.760,29.599,19.384,15.387,23.260,17.505,21.764
80,41.866,22.299,29.719,29.343,24.432,26.835,23.286,20.377,20.160,29.006,19.504,20.090,25.331,21.835,23.552,20.969,21.740,25.556,19.474,23.789,19.382,17.505,18.111,16.841,20.461,15.409,19.294,20.799,21.029,17.789,18.662,50.474,29.147,19.438,15.436,23.191,17.341,21.677
81,41.849,22.282,29.696,28.962,24.700,26.794,23.190,20.457,20.181,29.087,19.508,19.907,25.394,21.863,23.705,20.998,21.553,25.189,19.681,23.991,19.649,17.750,18.222,17.026,20.317,15.289,19.433,20.954,21.057,17.814,18.771,50.265,29.125,19.554,15.443,23.358,17.262,21.637
82,41.662,22.416,29.716,29.044,24.389,26.782,23.186,20.539,20.268,28.979,19.271,19.944,25.276,21.680,23.652,21.043,21.151,24.899,19.621,23.874,19.538,17.712,17.991,16.812,20.394,15.329,19.390,20.866,21.095,17.882,18.667,50.514,29.037,19.431,15.421,23.191,17.334,21.665
83,41.738,22.397,29.745,28.909,24.420,26.726,23.304,20.462,20.106,29.108,19.311,19.869,25.185,21.415,23.504,21.007,21.087,24.689,19.587,23.951,19.382,17.598,18.124,16.726,20.393,15.311,19.311,20.833,20.966,17.958,18.712,50.249,29.239,19.393,15.442,23.130,17.350,21.632
84,41.631,22.258,29.693,28.739,24.396,26.852,23.172,20.421,20.143,29.099,19.459,20.009,25.235,21.507,23.441,21.103,21.430,24.613,19.471,23.726,19.406,17.859,18.094,16.858,20.303,15.316,19.401,20.824,20.960,17.797,18.646,50.254,29.261,19.476,15.444,23.085,17.290,21.417
