 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
233,72.483,75.177,75.159,81.388,75.082,74.609,74.811,76.839,73.007,75.282,70.930,70.396
234,72.071,74.873,74.931,80.972,75.319,74.022,74.746,76.845,74.039,75.147,70.714,70.656
235,72.517,75.287,74.880,80.812,74.924,74.083,74.583,76.424,73.392,75.544,71.303,70.837
236,72.639,74.834,75.147,81.947,75.574,73.983,74.994,76.174,73.843,74.805,70.854,70.339
237,72.754,75.316,75.226,81.351,75.112,74.418,75.075,76.091,73.855,75.195,70.773,70.168
238,72.176,74.900,75.043,81.416,75.106,74.515,74.948,76.479,73.838,75.534,70.965,70.454
239,72.469,74.634,74.750,81.957,74.599,75.064,75.587,76.242,73.654,75.300,70.951,70.291
240,72.711,74.889,74.965,81.190,74.982,74.643,75.007,76.247,74.071,75.279,71.101,70.676
241,72.430,74.693,75.002,81.258,74.599,73.967,74.553,76.168,73.855,75.500,71.360,70.249
242,72.443,74.948,74.335,81.531,75.444,74.427,74.978,76.250,74.020,75.267,71.464,70.321
243,72.232,75.135,75.096,81.624,74.930,74.510,74.892,76.320,73.858,75.019,71.040,70.388
244,72.483,74.988,74.815,81.669,75.046,74.421,74.708,76.337,73.586,75.582,71.254,70.740
245,72.528,75.214,74.860,80.942,75.565,75.130,74.671,76.236,73.703,75.826,71.077,70.634
246,73.000,75.032,74.828,80.967,74.985,74.842,75.176,76.418,74.480,75.279,70.963,70.967
247,73.010,75.409,75.010,82.010,74.954,75.310,74.464,76.181,73.846,75.147,70.896,70.566
248,72.652,75.129,74.871,81.484,74.954,74.521,75.103,76.151,73.801,75.082,71.118,70.467
249,72.286,74.642,74.885,81.113,75.049,74.440,75.293,76.630,73.353,74.914,71.362,69.813
250,72.662,75.041,74.172,81.664,74.350,75.194,74.905,76.331,73.703,75.048,71.201,70.280
251,72.051,75.406,74.874,81.411,74.976,74.579,74.912,75.948,73.694,75.126,70.827,70.221
252,73.099,74.931,75.085,81.840,75.331,73.632,74.579,77.184,74.255,75.326,70.981,70.358
253,72.770,75.694,74.581,81.098,74.739,73.945,74.994,77.014,74.787,74.567,70.759,70.762
254,72.681,75.743,75.223,81.236,75.106,74.089,75.236,76.815,74.694,75.363,70.567,70.564
255,72.868,75.367,75.426,81.652,75.444,74.964,75.626,76.726,74.824,76.046,71.020,70.594
256,72.902,75.022,75.010,81.083,74.134,75.072,74.802,76.590,74.738,75.292,71.077,70.375
