 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50
352,91.372,147.420,44.085,44.906,37.187,37.291,46.422,54.504,56.099,37.149,57.366,59.037,49.891,39.100,41.216,41.219,55.643,44.202,54.807,52.168,70.897,219.311,87.092,63.831,56.805,61.588,36.581,42.994,40.552,46.364,48.289,39.003,42.271,51.465,38.562,40.113,39.870,31.938,30.360,30.629,35.406,43.170,35.551,44.455,44.349,43.856,42.111,46.049,43.060,43.788
353,89.518,143.798,43.370,44.901,37.284,36.987,45.555,53.957,55.854,36.900,56.959,58.715,49.786,39.247,40.658,41.419,55.868,44.334,54.612,51.459,70.208,217.581,84.070,63.395,56.533,60.742,36.530,43.159,40.692,46.752,48.176,38.893,42.115,51.669,38.660,40.577,40.148,32.063,30.560,30.316,35.212,43.122,35.607,44.247,44.147,43.202,42.011,46.523,43.184,43.905
354,87.995,141.324,42.964,44.610,37.231,37.266,44.921,53.592,55.872,37.078,57.077,59.110,50.518,39.054,40.958,41.182,55.643,44.094,54.262,51.098,69.298,214.091,81.930,63.605,56.901,61.192,36.793,43.332,40.280,46.685,47.848,38.981,41.893,51.235,38.209,41.278,39.869,31.855,30.445,30.428,35.409,42.943,35.972,44.389,45.086,44.019,42.000,46.031,42.943,43.785
355,86.902,139.000,42.613,44.940,37.080,37.228,44.253,53.693,55.863,37.038,59.387,58.760,49.766,39.205,40.887,41.020,55.889,43.614,54.112,50.983,69.521,211.844,80.264,63.407,56.241,60.945,36.650,43.035,40.211,46.662,47.861,38.797,42.032,51.456,38.707,43.040,39.968,32.055,30.429,30.777,35.167,43.202,35.579,43.938,44.075,43.649,42.026,45.864,43.561,44.257
356,85.801,136.275,42.492,44.615,37.353,37.228,43.455,52.819,55.685,37.035,62.249,58.752,50.242,39.007,40.826,41.242,55.809,43.661,54.009,50.488,69.452,208.039,79.340,63.707,56.277,60.764,36.406,43.456,40.424,46.594,47.551,38.727,42.151,51.230,38.458,42.518,39.476,31.823,30.565,30.566,34.872,42.902,35.668,43.785,44.699,43.376,42.083,45.829,42.839,43.779
357,84.135,134.181,42.174,45.448,37.114,37.262,43.286,52.999,55.449,37.004,60.314,58.874,49.752,38.995,40.637,41.133,55.870,43.653,53.520,50.516,68.956,205.499,78.343,63.246,56.735,60.195,36.637,43.363,40.111,46.457,47.315,38.554,41.784,51.254,38.458,41.500,39.791,31.813,30.365,30.545,35.251,42.909,35.495,44.639,44.558,43.265,41.886,45.962,43.442,44.004
358,83.020,131.759,41.591,44.173,37.078,37.086,42.501,52.705,56.080,37.087,59.185,59.071,49.214,39.127,40.845,40.532,55.736,43.648,53.023,50.089,68.831,203.796,76.780,62.870,56.049,60.181,36.849,43.416,40.420,46.252,47.038,38.646,42.220,51.079,38.889,41.051,39.781,31.934,30.277,30.442,35.135,43.053,35.586,44.090,44.870,43.511,42.049,45.911,43.647,43.934
359,82.292,130.515,41.605,44.469,36.924,37.030,42.447,52.608,55.980,37.419,58.282,58.963,49.446,38.836,40.731,41.445,55.581,43.505,53.527,49.944,67.670,201.093,75.415,63.579,56.203,60.052,36.409,43.257,40.113,46.687,46.310,38.441,41.994,51.452,38.758,40.868,39.873,31.896,30.445,30.738,35.245,42.902,35.452,44.684,44.894,43.724,41.819,46.214,43.356,44.025
360,81.611,129.597,41.417,44.602,37.088,37.477,41.965,52.236,55.577,36.940,57.972,58.673,49.641,38.923,40.994,41.193,56.177,43.865,53.105,49.726,67.870,197.837,74.308,64.114,56.207,60.168,36.691,43.033,40.192,46.481,45.378,38.093,42.042,51.342,38.822,40.529,39.746,31.805,30.216,30.470,35.085,42.943,35.566,44.028,44.658,43.337,42.170,46.566,42.803,44.013
361,80.212,127.173,41.129,44.298,36.597,37.302,41.634,52.433,56.119,36.910,62.108,59.093,49.657,39.055,40.865,41.381,55.800,43.958,53.250,49.538,67.804,195.181,74.287,63.147,56.076,59.791,36.586,43.179,40.203,46.506,45.016,37.904,42.204,50.923,38.825,40.585,39.816,31.938,30.293,30.581,35.186,42.832,36.178,44.052,44.497,43.204,42.064,46.228,43.083,44.053
