 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26
93,89.002,91.735,89.706,89.782,85.228,112.287,100.024,93.637,93.861,106.742,97.238,102.604,115.405,93.431,88.143,102.653,94.254,88.101,83.778,89.221,94.188,84.619,81.411,94.418,95.823,100.548
94,88.979,90.607,89.632,90.870,84.156,111.537,100.372,93.301,94.178,105.834,97.498,102.761,115.249,92.576,88.213,101.768,93.743,87.971,83.172,88.896,93.473,84.866,82.086,94.792,95.484,101.655
95,88.737,90.882,89.374,89.739,84.145,111.892,100.065,93.331,93.654,106.493,96.991,101.823,115.570,93.396,87.703,102.664,94.060,86.960,84.178,89.163,93.335,84.943,82.353,95.413,96.072,100.761
96,88.707,90.666,89.406,91.142,84.229,112.604,100.693,92.613,94.349,106.443,96.880,102.734,115.221,91.972,88.445,102.448,94.586,87.456,83.798,89.322,94.461,84.361,82.495,94.978,96.014,100.607
97,88.991,91.026,88.788,90.427,84.286,111.084,99.124,92.935,94.126,106.088,96.559,102.189,115.547,93.043,88.101,101.483,94.536,87.886,83.248,89.257,94.271,84.658,81.954,94.622,96.088,101.242
98,88.716,91.427,89.881,90.062,84.718,112.577,100.425,93.273,94.065,107.820,97.356,102.489,114.462,93.360,89.241,101.910,94.836,88.034,83.086,89.506,93.183,84.676,82.236,94.622,95.981,100.888
99,88.667,91.611,89.439,90.279,83.894,112.293,100.188,91.875,93.918,106.372,96.042,103.023,115.307,92.279,88.208,103.122,94.225,87.293,83.437,89.628,94.762,84.708,82.241,94.726,95.739,100.795
100,88.404,90.434,89.678,89.848,83.912,111.939,100.525,93.208,94.254,106.528,96.889,102.835,115.032,93.058,88.820,103.395,94.208,87.877,83.771,89.270,93.743,84.742,81.861,94.860,95.471,100.737
101,88.620,91.130,89.452,89.497,84.218,112.465,99.989,93.769,94.545,106.964,96.906,102.217,115.969,92.259,87.874,102.306,93.965,87.438,83.172,89.907,93.755,84.388,82.479,94.715,96.731,101.392
102,88.484,91.242,89.478,89.850,84.891,111.578,101.044,93.433,94.233,106.770,96.392,102.502,115.734,91.579,88.787,101.853,94.569,87.602,83.103,89.190,94.406,84.935,81.908,94.511,96.013,101.489
