 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39
334,74.649,67.045,116.083,102.775,79.218,104.918,81.019,119.323,142.476,109.111,136.013,108.677,123.218,92.627,102.370,100.150,108.553,140.972,129.907,112.574,144.996,78.442,74.673,122.484,77.931,84.457,106.077,128.219,164.065,86.599,86.067,127.276,100.082,94.482,124.693,83.916,111.470,106.199,88.453
335,74.629,67.804,115.878,104.411,79.329,106.714,80.847,117.911,141.144,108.882,137.728,110.512,124.577,92.623,103.109,100.364,107.719,140.529,129.257,113.725,144.892,78.671,73.649,120.547,76.946,84.567,106.082,128.730,165.039,87.255,86.718,128.402,101.420,94.576,124.939,83.961,110.112,105.026,88.754
336,74.757,66.576,116.343,104.281,79.227,105.061,81.222,118.446,139.580,110.784,136.431,108.126,123.864,92.620,102.966,101.492,107.836,140.278,129.696,112.924,145.900,79.316,73.829,118.220,77.852,84.066,105.613,128.396,164.014,87.644,86.974,127.952,100.889,93.871,125.922,84.861,111.272,104.945,88.091
337,74.676,66.901,113.669,101.146,79.362,104.983,81.100,119.389,138.389,109.242,135.751,109.892,124.279,92.868,102.212,100.037,109.028,141.136,129.159,112.323,145.229,79.953,73.365,119.034,77.065,83.972,103.291,129.472,164.005,87.487,85.683,127.231,101.286,94.504,125.832,84.082,109.922,104.030,89.170
338,74.777,67.054,115.732,99.430,78.780,104.714,81.037,123.477,138.994,107.982,137.696,110.168,124.526,93.354,103.028,100.740,108.468,140.465,130.169,114.357,145.606,80.409,73.839,118.681,77.300,84.415,104.941,129.172,165.492,87.264,86.606,127.826,100.110,94.324,126.115,84.621,110.966,103.683,88.383
339,74.650,66.744,117.819,98.785,79.805,106.680,80.669,120.867,142.115,110.136,139.115,110.344,123.490,93.041,103.167,100.628,108.810,141.151,129.787,114.732,145.612,81.920,74.768,123.840,78.040,87.411,104.207,127.963,164.277,87.831,86.718,128.909,102.478,107.649,125.525,84.161,108.552,104.749,88.647
340,73.946,66.378,115.248,102.210,79.251,105.455,80.912,120.832,140.620,109.337,137.879,108.964,122.972,92.816,102.880,100.813,107.855,140.223,130.944,115.340,145.367,80.379,75.085,125.364,77.094,88.561,104.697,128.717,165.072,87.510,86.090,126.866,102.494,107.564,127.434,84.905,111.612,104.041,88.520
341,73.614,66.791,114.425,100.830,79.696,106.338,81.363,120.812,140.054,109.625,137.383,109.518,125.203,93.562,102.515,100.801,109.206,141.013,129.328,112.663,145.256,79.748,73.777,123.045,76.606,90.644,104.822,126.757,164.363,88.525,87.228,126.909,102.172,106.356,126.893,84.613,110.560,105.568,88.283
342,73.930,67.424,113.028,98.820,79.385,106.935,81.019,118.574,138.845,108.344,136.390,109.940,123.590,93.460,102.352,100.575,108.382,140.412,127.196,110.842,144.661,78.618,74.991,121.471,76.292,89.047,104.317,128.047,164.721,87.445,87.199,126.772,101.246,105.552,125.266,84.689,109.586,103.601,88.103
343,74.553,67.015,111.646,95.721,79.636,106.247,80.581,118.418,137.690,108.542,137.150,109.380,123.390,92.610,103.280,99.555,108.874,139.992,131.105,112.567,146.566,79.382,73.763,119.688,77.473,87.297,104.606,127.587,164.702,87.499,86.051,126.798,100.851,103.625,126.328,84.363,109.668,102.111,88.681
