 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37
26,84.561,122.110,105.048,96.826,80.753,90.019,113.272,95.712,85.307,90.653,99.269,117.751,93.696,74.234,78.172,89.138,85.443,74.062,66.960,70.890,63.965,81.179,71.753,70.465,70.342,71.406,67.035,63.282,65.015,70.853,69.263,66.703,63.189,70.295,67.005,63.658,68.376
27,84.453,121.666,104.856,97.438,79.703,91.407,113.317,96.659,84.959,90.543,99.749,118.341,94.690,74.094,78.000,89.005,85.932,76.419,67.169,72.237,63.936,80.721,71.682,70.136,70.053,71.076,67.245,63.691,64.618,71.309,69.433,67.862,63.150,70.602,67.090,62.832,68.208
28,84.137,121.957,104.835,96.488,80.690,89.537,113.417,96.383,85.120,90.667,98.991,118.631,95.191,74.300,77.957,88.970,86.010,75.893,66.654,71.510,64.087,80.978,71.372,70.316,71.431,70.845,66.868,64.197,64.877,71.844,69.002,67.410,63.512,70.450,66.982,62.565,68.643
29,83.350,122.108,105.190,96.589,80.478,87.839,113.289,95.845,85.253,90.527,98.914,118.911,94.791,74.540,77.957,89.809,85.625,74.526,66.791,70.690,63.986,81.295,72.196,70.211,69.556,71.068,66.826,63.534,64.585,71.162,68.917,67.610,62.968,70.824,67.120,64.034,68.027
30,83.852,122.829,105.305,97.271,80.047,91.565,113.509,96.464,84.457,90.733,99.240,118.071,95.290,74.040,77.497,89.394,85.977,75.809,66.611,70.690,63.965,80.456,72.489,69.736,69.289,71.139,66.833,64.090,64.860,71.099,69.298,66.463,63.376,70.466,66.790,62.649,68.941
31,83.647,121.717,105.221,96.174,80.329,91.738,113.189,95.176,84.978,89.475,99.127,118.633,95.696,74.656,78.231,89.574,85.626,74.893,68.070,70.912,64.378,80.199,71.552,69.751,69.098,71.173,67.153,63.624,64.800,70.682,68.668,67.006,63.767,70.284,67.166,62.943,68.448
32,84.381,122.442,105.284,97.066,80.035,88.710,113.417,96.158,84.476,90.382,98.923,118.478,95.805,74.328,78.015,89.146,85.803,76.210,66.645,70.669,63.762,80.391,72.503,70.073,69.929,70.975,66.435,63.679,64.387,71.760,68.914,67.610,63.668,69.651,66.769,63.578,68.964
33,83.763,122.646,104.439,96.469,79.127,87.706,112.922,95.827,84.925,90.494,99.186,118.224,96.147,74.140,77.539,89.696,85.290,75.077,66.691,71.483,64.025,80.531,72.334,69.674,69.556,71.058,67.060,63.546,64.507,71.255,69.343,68.110,62.940,70.782,66.956,63.456,69.697
34,83.932,122.312,104.918,97.298,79.661,86.210,112.830,96.701,84.328,90.732,99.383,119.405,96.602,73.912,77.161,89.554,85.509,75.676,66.256,71.102,63.979,80.485,72.182,70.511,69.947,71.384,66.502,64.134,65.522,71.688,68.846,67.771,63.707,70.217,66.744,62.685,69.122
35,84.138,122.183,105.141,95.926,80.117,90.309,112.964,95.141,84.976,90.604,99.168,118.494,95.402,73.998,77.983,89.355,85.902,75.721,67.475,71.708,63.717,80.633,72.356,70.275,69.960,71.720,66.389,63.460,64.558,72.045,68.711,67.655,63.297,70.714,66.499,63.190,68.919
36,83.724,122.658,105.435,96.527,79.642,89.497,114.316,95.820,84.848,90.202,99.603,118.554,95.458,74.396,77.698,89.304,85.880,75.816,66.900,70.844,63.953,80.323,71.598,70.776,69.338,70.965,66.972,62.773,64.271,71.520,68.838,67.102,63.150,70.495,66.827,63.041,68.968
37,84.092,122.505,104.948,97.678,79.731,87.998,112.210,95.901,84.974,90.945,99.488,118.640,95.646,74.242,77.567,89.171,86.534,75.618,66.804,71.450,65.056,81.131,72.337,70.299,70.711,70.916,67.275,62.847,64.631,70.745,68.792,67.944,62.772,70.695,66.703,63.100,67.792
38,83.849,121.285,104.943,97.578,80.158,86.549,113.585,95.634,84.714,90.657,99.504,118.479,95.690,74.061,78.722,89.997,85.795,76.074,67.080,71.337,64.328,80.926,72.209,70.278,70.498,71.152,66.748,64.122,64.869,72.033,69.199,67.811,63.500,70.330,66.946,62.639,68.584
39,83.269,122.519,104.793,96.399,80.402,86.017,113.697,96.461,85.116,91.393,100.147,118.452,96.122,74.457,77.862,89.474,85.949,76.029,66.326,71.587,64.188,80.192,72.342,69.863,70.876,71.166,67.009,63.655,64.568,72.045,68.865,68.667,63.604,70.558,66.741,63.299,69.000
40,83.464,123.597,104.197,95.659,80.009,84.360,113.248,95.631,84.704,90.660,99.690,118.076,95.469,74.365,77.652,88.986,85.673,75.923,67.149,71.563,63.486,80.847,72.535,70.067,69.747,71.277,67.356,63.439,64.329,72.390,69.235,67.429,63.724,70.117,66.561,62.612,68.579
41,83.705,122.762,104.356,97.143,79.778,83.645,113.073,95.854,85.196,89.796,99.630,118.342,95.288,73.853,77.631,89.790,86.098,76.147,66.528,70.900,64.174,80.474,72.473,69.931,70.044,71.357,66.826,63.401,65.205,71.925,68.994,67.647,63.657,70.244,66.871,63.193,69.493
42,84.054,122.063,104.451,97.446,80.835,82.876,112.764,96.428,84.843,90.315,99.915,118.685,94.612,74.225,77.756,89.152,85.490,75.221,66.040,71.310,63.734,80.690,72.014,69.823,70.551,71.456,67.153,63.973,64.754,71.745,69.183,67.410,63.717,69.972,67.218,63.556,69.127
