 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
158,122.595,142.034,140.899,154.472,134.741,129.649,130.321,119.988,115.381,127.868,124.629,115.401,121.268,121.155,114.150,115.965,115.292
159,123.957,142.183,141.379,155.407,134.781,129.611,129.608,119.741,114.503,127.820,124.245,115.873,121.341,120.637,112.986,115.165,116.223
160,123.110,141.855,141.256,155.170,135.161,129.611,130.601,119.899,115.442,128.287,124.488,115.815,121.111,120.916,114.748,115.571,116.089
161,123.543,142.155,140.683,156.790,134.582,129.554,130.125,118.923,116.009,128.289,124.373,115.498,120.310,121.178,114.064,116.367,115.898
162,123.933,141.886,141.308,155.501,134.766,129.270,130.009,119.662,115.612,128.063,123.387,116.149,120.889,121.324,113.880,115.890,116.055
163,123.555,142.003,140.860,154.181,135.129,129.484,130.306,119.706,115.035,128.079,123.865,116.251,120.551,120.592,114.721,116.117,115.600
164,123.129,142.346,140.024,155.272,135.078,129.488,131.148,120.439,115.174,127.669,124.531,116.600,120.310,121.212,113.957,116.131,115.736
165,122.840,142.049,141.006,154.396,135.017,129.306,130.859,119.557,116.000,128.270,124.845,115.462,121.913,121.637,113.971,115.748,115.785
166,123.015,142.550,141.202,155.399,136.116,128.931,131.101,120.174,115.965,128.268,124.803,115.823,121.882,120.916,113.462,115.262,115.702
167,123.436,141.728,140.928,154.881,135.080,129.369,130.406,119.371,115.889,128.033,125.234,115.154,119.930,121.491,112.751,116.204,116.724
168,123.669,142.379,141.191,154.854,135.418,129.815,130.693,119.553,115.455,128.206,123.902,115.515,121.118,121.073,113.699,116.012,115.436
169,123.196,141.516,141.227,154.949,135.011,129.560,129.868,120.644,115.283,127.786,123.780,115.713,120.624,121.137,114.304,116.076,115.787
170,123.497,142.237,140.795,154.790,135.263,130.188,130.042,119.296,116.481,128.107,124.634,115.960,120.279,120.798,113.939,115.312,115.620
171,123.613,141.935,141.708,155.539,135.152,129.633,129.578,120.137,116.196,127.839,123.948,116.515,120.296,121.219,114.184,115.888,115.664
172,123.135,141.217,140.770,155.286,135.085,128.964,129.962,119.950,115.625,127.745,124.258,116.114,120.847,121.103,114.182,115.401,115.819
173,122.647,142.311,140.450,154.253,135.403,129.060,130.345,120.027,114.780,128.490,124.329,115.380,121.101,121.109,113.631,115.638,115.410
174,123.607,142.333,140.580,153.889,135.284,129.052,130.385,120.936,115.026,127.908,124.966,115.974,120.683,120.908,114.097,115.691,114.587
175,124.132,142.095,141.364,154.725,135.597,129.454,131.030,120.132,115.887,128.041,123.968,115.641,119.334,121.253,113.780,115.576,115.545
176,123.727,141.590,141.019,156.178,134.746,129.534,130.321,119.961,116.074,127.663,124.014,115.952,120.606,121.815,113.737,116.117,115.242
177,122.856,142.225,140.112,154.528,134.830,129.710,129.845,120.468,115.950,127.878,124.334,115.631,121.666,120.927,113.515,114.764,115.074
178,122.344,141.580,139.498,154.291,134.072,130.171,131.736,119.720,115.595,128.949,123.504,115.414,120.645,119.850,113.835,115.778,115.448
179,122.761,142.311,141.414,154.774,134.642,129.595,130.641,119.325,115.002,128.650,124.522,115.587,119.718,121.037,113.640,115.803,115.203
180,123.457,141.077,140.636,155.199,134.659,128.679,129.887,119.162,114.760,127.991,124.396,115.587,120.735,121.056,114.301,116.525,115.969
181,123.227,142.362,141.000,154.935,134.794,128.978,130.983,119.385,115.159,128.264,124.536,115.176,120.589,121.090,113.143,116.223,115.147
182,122.954,142.339,140.275,155.199,135.682,129.462,130.889,119.952,115.497,128.042,124.503,115.732,121.843,120.596,113.826,115.784,115.718
183,123.242,142.009,140.963,153.536,134.304,129.690,130.483,119.915,115.290,128.420,124.107,115.280,119.913,121.532,113.832,115.566,115.419
184,124.018,141.929,141.043,155.445,134.330,130.653,130.356,119.132,115.346,127.563,123.769,115.968,120.453,120.873,113.844,115.704,114.774
185,124.147,141.348,141.077,153.434,134.997,128.875,130.453,119.250,114.314,127.908,123.799,115.286,120.920,121.067,114.961,115.622,115.342
186,124.098,141.972,139.975,154.216,134.163,128.599,130.220,119.704,114.756,128.133,123.591,115.177,120.993,121.011,114.395,115.395,115.797
187,123.156,142.346,140.516,154.191,135.010,129.835,130.411,119.333,115.266,128.350,125.099,116.195,120.206,120.635,113.932,115.482,115.171
188,124.690,141.506,140.851,153.544,135.307,128.671,130.208,119.151,115.383,128.562,124.261,115.703,120.512,120.260,113.340,115.030,115.356
189,122.877,141.865,141.129,156.027,134.751,128.562,129.786,119.010,114.863,127.676,124.634,115.159,120.812,120.530,114.417,116.062,115.218
190,123.567,142.306,140.032,155.636,134.257,130.046,130.427,120.110,116.096,128.143,124.254,115.957,120.206,121.251,113.458,114.936,115.991
191,122.975,142.033,140.748,154.997,134.824,129.133,131.111,120.248,115.179,128.022,123.442,115.160,120.589,120.831,113.633,115.892,115.952
192,123.316,141.494,141.102,154.458,134.392,129.355,129.918,119.319,115.991,127.862,124.032,115.602,119.878,120.736,113.369,116.514,115.796
193,123.525,142.003,140.383,153.922,135.288,128.339,129.837,119.472,115.338,128.491,123.606,115.273,120.530,120.835,114.351,115.683,115.918
