 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
201,167.981,132.665,117.963,132.285,146.258,186.642,168.200,150.650,141.574,157.248,88.192,129.128,142.991
202,171.074,132.680,118.686,131.690,147.030,187.679,165.804,150.069,142.437,157.618,89.512,129.813,146.245
203,168.544,132.700,116.292,134.919,144.363,188.183,166.841,150.386,137.780,158.837,87.478,129.320,145.074
204,171.704,133.124,117.632,134.013,149.634,188.250,167.942,149.507,140.096,156.036,88.119,129.062,144.195
205,169.834,136.773,116.103,131.092,148.234,187.239,167.510,151.675,139.423,159.072,88.611,129.521,144.752
206,172.641,137.198,118.427,131.925,146.153,190.802,165.821,150.698,142.879,159.844,88.688,127.939,145.744
207,174.449,136.798,118.443,134.403,149.049,189.280,164.145,151.412,139.431,160.089,87.261,131.091,147.807
208,172.707,134.249,117.484,133.555,147.778,191.649,169.264,149.798,141.583,157.592,88.717,129.409,149.600
209,170.926,134.325,115.647,134.298,147.822,190.927,167.739,147.748,140.528,159.223,88.502,128.034,147.657
210,170.351,136.592,118.477,136.126,151.715,190.955,167.472,151.768,141.963,156.867,87.614,128.344,149.775
211,169.847,130.735,118.801,134.043,148.930,186.937,168.439,148.760,145.143,158.950,88.844,129.057,146.789
212,168.612,134.825,118.068,133.510,148.703,190.545,167.642,149.824,142.288,159.481,91.186,128.424,148.946
213,171.299,132.227,115.715,135.259,144.981,190.054,168.613,148.470,137.098,158.603,87.130,125.967,143.829
214,170.283,129.012,119.326,133.649,148.158,187.075,169.276,151.586,138.997,156.870,88.433,131.690,147.496
215,170.370,133.159,118.142,135.540,148.596,190.022,165.220,151.118,140.482,157.795,89.895,128.419,144.913
216,168.771,136.394,115.619,135.227,146.256,189.030,166.243,150.887,139.731,158.898,90.772,127.969,145.232
217,171.313,136.155,116.365,137.143,151.863,191.571,169.505,152.287,145.104,158.187,91.355,130.703,146.559
