 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
140,12.748,11.646,14.478,10.595,12.485,11.698,11.113,11.101,11.844,10.803,10.577,10.089,14.105,10.829,10.914,11.396,10.307,9.163,8.404,8.646
141,12.723,11.640,14.501,10.659,12.605,11.730,11.018,11.046,11.782,10.870,10.539,10.189,14.063,10.895,10.957,11.224,10.453,9.193,8.346,8.683
142,12.645,11.677,14.712,10.695,12.505,11.700,11.018,10.980,11.656,10.774,10.533,10.194,13.989,10.877,11.007,11.148,10.323,9.176,8.378,8.674
143,12.688,11.811,14.848,10.554,12.476,11.712,11.057,11.106,11.692,10.764,10.448,10.072,14.120,10.829,10.977,11.258,10.293,9.223,8.349,8.672
144,12.793,11.681,14.657,10.592,12.409,11.744,11.062,11.142,11.732,10.736,10.517,10.044,14.018,10.877,10.987,11.494,10.380,9.200,8.385,8.697
145,12.787,11.738,14.664,10.720,12.569,11.734,11.059,10.982,11.706,10.740,10.489,10.089,14.069,10.878,11.033,11.453,10.372,9.185,8.375,8.645
146,12.765,11.627,14.482,10.702,12.446,11.692,11.026,11.034,11.704,10.808,10.580,10.161,14.064,10.915,10.990,11.336,10.404,9.224,8.354,8.653
147,12.812,11.677,14.511,10.585,12.521,11.690,11.090,11.096,11.675,10.769,10.574,10.072,14.060,10.861,10.997,11.316,10.321,9.132,8.415,8.671
148,12.766,11.685,14.357,10.715,12.446,11.712,11.090,11.032,11.689,10.707,10.489,10.156,14.095,10.917,10.947,11.226,10.309,9.215,8.354,8.679
149,12.730,11.672,14.370,10.630,12.458,11.742,11.034,11.103,11.661,10.606,10.426,10.133,14.106,10.878,11.030,11.302,10.451,9.164,8.371,8.691
150,12.758,11.668,14.290,10.556,12.558,11.745,11.088,11.096,11.654,10.659,10.445,10.089,14.048,10.870,10.957,11.547,10.398,9.160,8.354,8.625
151,12.759,11.731,14.409,10.647,12.532,11.733,10.997,11.016,11.694,10.764,10.546,10.200,14.088,10.844,10.987,11.452,10.299,9.160,8.379,8.670
152,12.828,11.757,14.404,10.602,12.493,11.836,11.119,11.105,11.619,10.692,10.533,10.111,14.122,10.863,10.858,11.336,10.424,9.157,8.387,8.680
153,12.771,11.657,14.302,10.746,12.560,11.728,11.095,11.117,11.683,10.654,10.536,9.989,14.106,10.964,10.904,11.325,10.345,9.230,8.346,8.675
154,12.787,11.831,14.216,10.707,12.589,11.631,11.013,11.145,11.711,10.798,10.599,10.178,14.086,10.859,10.871,11.179,10.422,9.200,8.348,8.663
155,12.807,11.681,14.264,10.690,12.587,11.763,11.015,11.255,11.630,10.615,10.448,10.100,14.120,10.933,10.914,11.161,10.289,9.185,8.383,8.716
156,12.719,11.705,14.275,10.578,12.611,11.697,10.948,11.309,11.725,10.784,10.508,10.067,14.087,10.900,11.030,11.293,10.434,9.157,8.357,8.658
157,12.834,11.685,14.309,10.717,12.438,11.813,11.054,11.388,11.640,10.668,10.521,10.044,14.011,10.915,10.854,11.597,10.370,9.217,8.400,8.730
158,12.809,11.653,14.291,10.698,12.622,11.708,11.077,11.459,11.664,10.659,10.562,10.122,14.045,10.924,10.891,11.528,10.307,9.272,8.348,8.678
159,12.779,11.633,14.267,10.647,12.587,11.745,11.008,11.562,11.690,10.755,10.533,10.072,14.146,10.896,10.944,11.365,10.402,9.148,8.333,8.538
160,12.856,11.527,14.233,10.624,12.575,11.752,10.899,11.496,11.652,10.601,10.521,9.994,14.036,10.929,10.977,11.385,10.406,9.155,8.379,8.645
