 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
221,85.255,136.223,72.771,138.421,71.741,65.772,64.161,66.134,81.787,80.835
222,90.113,141.014,72.533,142.753,73.489,68.708,65.728,65.587,82.582,80.855
223,89.414,141.553,74.918,142.240,74.000,68.160,65.187,66.175,83.327,81.558
224,96.232,143.958,74.333,144.640,72.625,67.374,65.531,66.344,83.635,82.618
225,95.499,147.328,74.963,141.096,72.982,67.541,65.793,65.648,82.105,82.133
226,93.345,141.078,72.810,142.624,71.584,65.715,64.349,65.224,80.619,81.008
227,92.713,136.544,71.571,141.111,69.101,63.160,63.425,65.202,79.223,81.494
228,89.025,129.208,69.900,139.734,67.678,62.470,63.235,65.150,78.903,80.173
229,86.579,120.582,65.988,125.944,65.161,60.391,62.003,64.519,75.116,74.317
230,86.285,115.745,65.527,126.019,63.463,60.053,61.387,64.377,75.591,74.116
231,84.559,112.545,65.316,126.934,64.315,60.032,61.528,65.421,77.045,77.450
232,84.634,104.016,64.171,120.868,63.302,59.192,60.861,64.495,74.126,73.080
233,82.853,98.384,63.443,115.412,61.940,58.801,59.810,64.434,73.820,70.976
234,80.789,95.945,63.147,112.066,61.229,58.498,60.394,64.314,73.471,69.048
235,78.986,93.265,63.157,113.071,62.486,58.548,60.283,64.642,73.458,71.249
236,78.922,90.284,61.980,113.760,62.474,59.114,59.866,64.380,72.921,70.462
237,77.938,87.415,61.743,109.958,61.247,58.267,59.922,64.342,73.085,69.478
238,78.391,86.086,61.839,107.835,61.406,58.548,59.538,65.336,73.333,69.679
239,77.179,84.487,62.312,105.767,60.730,58.495,59.440,64.451,73.367,68.618
240,76.685,82.848,61.602,101.962,61.086,57.858,59.417,64.880,73.809,67.932
241,76.586,80.873,61.761,102.344,61.078,58.851,59.344,64.525,72.232,68.727
242,76.244,80.003,61.518,104.576,60.479,58.160,59.253,64.653,73.213,69.245
243,76.297,79.422,61.782,102.214,60.380,58.584,58.897,64.705,73.156,68.651
244,76.149,77.630,61.757,100.379,60.962,57.637,59.041,64.683,73.057,68.056
245,76.274,77.350,61.655,97.793,60.630,58.253,58.884,65.107,72.840,67.739
246,77.611,76.020,62.139,95.195,60.831,58.370,59.364,64.393,72.748,66.851
247,79.014,76.303,61.963,94.198,60.630,58.534,59.301,64.432,73.201,66.341
248,78.455,74.886,61.790,92.741,60.645,58.050,58.998,64.481,72.963,66.980
249,76.733,74.926,62.027,90.456,60.458,57.854,58.641,64.978,73.240,66.365
