 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35
631,22.981,23.512,23.176,37.043,23.874,22.303,22.932,27.260,26.978,27.672,25.045,25.165,24.753,22.362,24.320,26.594,25.288,25.178,54.452,89.042,60.883,38.700,37.093,27.396,28.302,31.174,24.230,24.972,26.599,24.336,22.847,22.354,24.911,26.077,24.487
632,23.019,23.336,23.313,36.689,24.107,22.202,22.925,27.276,27.021,27.698,24.910,25.292,24.772,22.395,24.240,26.907,25.227,25.090,54.407,87.948,60.003,38.040,36.989,27.569,28.322,31.189,24.325,25.014,26.600,24.461,22.781,22.419,24.728,25.792,24.354
633,23.195,23.491,23.268,36.740,23.937,22.118,22.853,27.075,26.828,27.702,24.937,25.140,24.702,22.377,24.238,26.676,25.329,25.064,53.945,88.197,59.354,37.977,37.214,27.364,28.306,31.109,24.440,25.122,26.513,24.379,22.727,22.446,24.894,26.096,24.250
634,23.156,23.412,23.290,36.450,24.038,22.284,22.997,27.288,26.914,27.579,24.885,25.067,24.683,22.362,24.230,26.578,25.157,24.986,53.901,86.663,58.781,37.755,36.794,27.467,28.437,31.278,24.244,24.976,26.618,24.592,22.692,22.442,24.857,26.033,24.316
635,23.183,23.259,23.293,36.371,24.004,22.139,22.950,27.157,26.927,27.730,24.921,25.049,24.603,22.397,24.321,26.618,25.081,25.176,53.454,87.588,58.033,37.664,37.047,27.249,28.710,30.730,24.302,24.930,26.460,24.281,22.729,22.388,24.718,26.199,24.126
636,23.147,23.278,23.171,36.729,23.982,22.272,22.956,27.216,26.887,27.631,24.826,25.091,24.583,22.351,24.393,26.760,25.256,25.161,52.956,87.546,57.807,37.547,36.966,27.009,28.465,30.803,24.278,24.878,26.523,24.267,22.675,22.285,25.031,26.123,24.409
637,23.109,23.306,23.330,36.384,24.079,22.338,23.159,27.173,26.836,27.794,24.987,25.095,24.611,22.456,24.350,26.681,25.215,25.241,53.046,89.454,57.229,37.389,37.850,27.698,29.380,30.649,24.156,24.986,26.475,24.247,22.749,22.456,25.054,26.292,24.414
638,23.174,23.486,23.218,36.284,23.956,22.278,23.019,27.111,26.842,27.790,24.887,25.289,24.545,22.495,24.468,26.686,25.233,25.064,52.799,102.164,63.211,38.609,37.841,31.773,34.690,31.088,24.319,25.126,26.783,24.686,23.268,22.485,24.995,25.993,24.179
639,23.244,23.310,23.255,35.843,24.107,22.307,23.089,27.322,26.774,27.874,24.935,25.186,24.916,22.374,24.590,26.735,25.226,25.131,53.213,115.199,72.448,39.247,38.072,35.640,36.661,31.396,24.519,25.108,27.022,24.967,23.864,22.617,25.019,26.164,23.894
640,23.237,23.236,23.285,35.870,24.099,22.239,23.035,27.335,26.879,27.847,25.086,25.487,25.563,22.526,24.871,26.806,25.145,25.197,53.009,126.061,80.215,39.611,37.928,37.276,38.861,31.313,24.701,25.387,27.125,25.341,24.312,22.581,25.329,26.309,24.131
