 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
803,17.105,18.556,29.437,12.283,19.855,21.437,14.191,11.258,11.227,12.874,11.947,14.270,14.946,13.488,11.712,11.194,14.935,10.026,9.942,10.796,11.819,12.464,11.298,11.277,12.733,13.144,11.711,11.044,10.986,10.499,12.895,14.935,10.433,11.356
804,16.760,18.463,29.007,12.230,20.261,21.430,14.131,11.141,11.197,12.866,12.099,14.014,15.100,13.951,11.630,11.224,15.414,10.035,9.897,10.774,11.837,12.490,11.292,11.175,12.767,13.444,11.984,10.941,11.063,10.560,12.726,15.047,10.369,11.295
805,16.299,18.556,28.380,12.043,20.381,21.498,14.037,11.121,11.129,12.859,12.046,13.875,14.918,13.691,11.607,11.271,15.407,9.978,9.875,10.849,11.843,12.481,11.222,11.178,12.718,13.218,13.384,10.980,10.991,10.502,12.872,14.809,10.179,11.276
806,18.408,18.659,28.306,13.969,20.153,21.396,13.989,11.140,11.127,12.894,11.952,14.288,15.098,13.323,11.574,11.208,15.719,10.136,10.039,10.909,11.786,12.503,11.247,11.266,12.787,13.469,13.308,11.487,11.075,10.556,12.878,14.769,10.371,11.431
807,20.834,18.815,29.252,14.827,20.145,21.469,14.458,11.655,11.251,12.759,11.882,14.722,14.932,13.419,11.684,11.295,15.165,10.432,10.153,11.291,11.942,12.607,11.337,11.251,12.733,13.764,12.833,12.073,11.202,10.520,12.872,14.804,10.536,11.506
808,20.186,18.697,30.181,14.268,20.039,21.449,14.960,12.583,11.090,12.852,11.930,14.445,14.912,14.016,11.842,11.271,15.305,10.390,10.081,11.230,12.027,12.538,11.288,11.265,12.696,14.208,12.539,12.044,11.100,10.516,12.860,14.786,10.364,11.412
809,19.147,18.647,30.230,13.536,19.580,21.517,15.240,13.289,11.223,12.755,12.042,14.038,14.944,13.835,11.758,11.267,15.351,10.343,10.120,11.117,12.001,12.491,11.249,11.239,12.671,13.723,12.299,11.886,10.982,10.533,12.810,14.769,10.311,11.350
810,19.478,18.561,29.772,13.832,18.917,21.513,15.141,13.164,11.147,12.818,12.184,14.198,14.840,13.586,11.591,11.234,14.918,10.303,10.045,11.008,12.016,12.596,11.212,11.198,12.595,13.503,12.042,11.718,11.051,10.475,12.813,14.575,10.377,11.278
811,21.403,19.195,29.527,15.015,18.770,21.571,14.903,12.960,11.251,12.812,12.084,14.809,15.495,14.140,12.223,11.275,15.000,10.743,10.287,11.200,12.022,12.450,11.312,11.200,12.672,13.685,11.986,11.856,10.956,10.512,12.831,14.664,10.547,11.536
812,20.676,19.109,28.587,14.878,19.175,21.609,14.760,12.804,11.243,12.785,12.021,14.605,15.585,13.753,12.086,11.238,14.511,10.688,10.326,11.079,11.899,12.601,11.365,11.304,12.841,13.444,11.889,11.732,10.984,10.566,12.901,14.552,10.439,11.527
813,20.229,18.975,28.188,14.273,19.717,21.449,14.562,12.633,11.209,12.765,12.087,14.189,15.374,13.797,11.891,11.218,13.864,10.570,10.220,10.879,11.960,12.517,11.263,11.228,12.552,13.269,11.821,11.577,10.946,10.543,12.813,14.589,10.517,11.382
814,24.465,19.319,28.770,15.278,20.524,21.377,14.459,12.339,11.184,12.810,12.133,13.998,15.757,14.196,12.195,11.238,13.487,10.779,10.234,11.113,12.045,12.531,11.241,11.124,12.610,13.533,11.875,12.114,10.974,10.486,12.808,14.883,10.607,11.588
815,24.126,19.409,28.325,14.796,20.428,21.675,14.142,12.079,11.103,12.785,12.162,13.792,16.059,13.913,12.116,11.267,14.245,10.724,10.209,11.106,12.099,12.495,11.318,11.258,12.682,13.518,11.941,11.883,10.942,10.549,12.773,15.063,10.424,11.598
816,23.503,19.353,28.349,14.944,20.854,21.626,14.069,12.091,11.144,12.763,12.086,13.822,16.444,13.579,12.107,11.313,15.259,10.778,10.187,11.087,12.192,12.447,11.294,11.273,12.667,13.538,11.753,11.966,10.933,10.570,12.962,15.077,10.455,11.566
