 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24
127,65.328,57.964,59.713,69.784,90.953,64.692,64.304,61.803,58.059,64.011,69.385,81.077,81.468,73.347,87.104,90.015,62.718,61.793,66.351,59.745,53.601,63.628,69.353,69.459
128,65.628,58.658,59.408,69.320,91.814,64.672,63.810,61.450,57.783,64.046,69.820,81.476,80.830,73.036,86.657,88.044,63.432,62.409,66.444,59.437,53.597,63.742,69.720,69.192
129,65.302,58.346,59.604,69.700,93.007,64.577,64.352,61.875,57.523,63.583,70.064,81.455,81.009,72.386,87.127,86.819,62.630,62.128,65.665,59.983,53.623,63.515,69.160,69.124
130,65.381,58.324,59.679,69.851,91.189,64.535,64.292,61.524,57.675,64.195,70.415,81.182,81.168,73.839,86.429,89.344,62.503,61.996,66.654,60.105,53.605,63.679,68.770,69.892
131,65.654,58.332,59.221,70.184,92.133,64.443,64.400,61.185,57.464,64.147,69.820,81.026,80.865,73.571,85.841,91.520,62.818,61.876,65.779,60.056,53.669,63.500,68.913,69.108
132,65.727,58.204,59.636,70.318,91.611,64.207,64.212,61.330,57.325,64.099,70.160,81.294,81.167,72.929,86.988,90.607,62.611,61.780,65.575,59.024,53.731,63.186,68.989,69.766
133,65.268,58.507,59.611,70.016,91.591,64.457,64.164,61.348,57.210,63.773,70.615,81.210,81.212,72.842,88.050,88.881,62.575,61.677,65.965,59.815,53.494,63.852,68.412,69.520
134,65.582,58.379,59.536,70.069,92.679,64.289,64.067,61.260,57.299,64.213,69.956,81.153,80.654,72.369,88.643,92.366,62.629,61.738,66.291,59.654,53.719,63.491,68.249,70.117
135,65.566,58.234,59.816,70.076,91.497,64.359,64.274,60.981,57.165,63.830,69.951,81.005,80.693,71.920,89.345,93.050,62.431,61.772,66.109,59.322,53.625,63.591,68.717,69.553
136,65.659,58.439,60.022,69.671,91.297,64.333,64.186,60.527,57.118,63.877,70.289,80.794,80.546,71.726,89.083,89.862,62.861,61.733,65.858,60.087,53.791,63.639,68.409,69.763
